ID,Name,Description,Contributor,Citation,Source,Rights,Media_IDs,Type,Properties
L025,"Language Groups included in Atlas part I, II",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L025_s L025_b,leaf,
L001,"New Guinea, Papuan Language Stocks (Western New Guinea Area)",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L001_s L001_l L001_b L001_points L001_mapped_area L001_geotiff L001_web L001_bounds,leaf,
L002,"Indonesia, Iran Jaya, Western",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L002_s L002_l L002_b L002_points L002_mapped_area L002_geotiff L002_web L002_bounds,leaf,
L003,"Indonesia, Irian Jaya, North-Eastern",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L003_s L003_l L003_b L003_points L003_mapped_area L003_geotiff L003_web L003_bounds,leaf,
L004,"Indonesia, Irian Jaya, South-Eastern",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L004_s L004_l L004_b L004_points L004_mapped_area L004_geotiff L004_web L004_bounds,leaf,
L005,"New Guinea, Papuan Language Stocks (Eastern New Guinea Area)",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L005_s L005_l L005_b L005_points L005_mapped_area L005_geotiff L005_web L005_bounds,leaf,
L006,"New Guinea, Sepik Provinces",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L006_s L006_l L006_b L006_points L006_mapped_area L006_geotiff L006_web L006_bounds,leaf,
L007,"New Guinea, Madan Province",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L007_s L007_l L007_b L007_points L007_mapped_area L007_geotiff L007_web L007_bounds,leaf,
L008,"New Guinea, Morobe Province",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L008_s L008_l L008_b L008_points L008_mapped_area L008_geotiff L008_web L008_bounds,leaf,
L009,"New Guinea, Northern Province",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L009_s L009_l L009_b L009_points L009_mapped_area L009_geotiff L009_web L009_bounds,leaf,
L010,"New Guinea, Milne Bay Province",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L010_s L010_l L010_b L010_points L010_mapped_area L010_geotiff L010_web L010_bounds,leaf,
L011,"New Guinea, Southern Highlands",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L011_s L011_l L011_b L011_points L011_mapped_area L011_geotiff L011_web L011_bounds,leaf,
L012,"New Guinea, Western Province",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L012_s L012_l L012_b L012_points L012_mapped_area L012_geotiff L012_web L012_bounds,leaf,
L013,New Britain,,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L013_s L013_l L013_b L013_points L013_mapped_area L013_geotiff L013_web L013_bounds,leaf,
L014,New Ireland and Admiralty Islands,,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L014_s L014_l L014_b L014_points L014_mapped_area L014_geotiff L014_web L014_bounds,leaf,
L015,Solomon Islands and Bougainville,,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L015_s L015_l L015_b L015_points L015_mapped_area L015_geotiff L015_web L015_bounds,leaf,
L016a,Vanuatu (New Hebrides) - Overview,,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L016a_s L016a_l L016a_b L016a_points L016a_mapped_area L016a_geotiff L016a_web L016a_bounds,leaf,
L016b,Vanuatu (New Hebrides) - Detail,,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L016b_s L016b_l L016b_b L016b_points L016b_mapped_area L016b_geotiff L016b_web L016b_bounds,leaf,
L017,New Caledonia,,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L017_s L017_l L017_b L017_points L017_mapped_area L017_geotiff L017_web L017_bounds,leaf,
L018,Micronesia,,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L018_s L018_l L018_b L018_points L018_mapped_area L018_geotiff L018_web L018_bounds,leaf,
L019a,"Polynesia, Eastern part of",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L019a_s L019a_l L019a_b L019a_points L019a_mapped_area L019a_geotiff L019a_web L019a_bounds,leaf,
L019b,"Polynesia, Western part of",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L019b_s L019b_l L019b_b L019b_points L019b_mapped_area L019b_geotiff L019b_web L019b_bounds,leaf,
L020,"Australia, Western part of",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L020_s L020_l L020_b L020_points L020_mapped_area L020_geotiff L020_web L020_bounds,leaf,
L021,"Australia, South-Eastern",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L021_s L021_l L021_b L021_points L021_mapped_area L021_geotiff L021_web L021_bounds,leaf,
L022,"Australia, Eastern Part of",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L022_s L022_l L022_b L022_points L022_mapped_area L022_geotiff L022_web L022_bounds,leaf,
L023,"Australia, Northern",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L023_s L023_l L023_b L023_points L023_mapped_area L023_geotiff L023_web L023_bounds,leaf,
L030,"Taiwan (Formosa), Austronesian Languages",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L030_s L030_l L030_b L030_points L030_mapped_area L030_geotiff L030_web L030_bounds,leaf,
L031,Philippines,,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L031_s L031_l L031_b L031_points L031_mapped_area L031_geotiff L031_web L031_bounds,leaf,
L032,"Philippines, Northern",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L032_s L032_l L032_b L032_points L032_mapped_area L032_geotiff L032_web L032_bounds,leaf,
L033,"Philippines, Central",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L033_s L033_l L033_b L033_points L033_mapped_area L033_geotiff L033_web L033_bounds,leaf,
L034,"Philippines, Southern",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L034_s L034_l L034_b L034_points L034_mapped_area L034_geotiff L034_web L034_bounds,leaf,
L035,Mainland S.E. Asia(North) & Hainan,,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L035_s L035_l L035_b L035_points L035_mapped_area L035_geotiff L035_web L035_bounds,leaf,
L036,Mainland S.E. Asia(South),,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L036_s L036_l L036_b L036_points L036_mapped_area L036_geotiff L036_web L036_bounds,leaf,
L037,"Malaysia, Peninsular",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L037_s L037_l L037_b L037_points L037_mapped_area L037_geotiff L037_web L037_bounds,leaf,
L038,"Indonesia, Sumatra",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L038_s L038_l L038_b L038_points L038_mapped_area L038_geotiff L038_web L038_bounds,leaf,
L039,"Indonesia, Java and Bali",,,,ecai;wurm_and_hattori,© ECAI Digital Language Atlas of the Pacific Area,L039_s L039_l L039_b L039_points L039_mapped_area L039_geotiff L039_web L039_bounds,leaf,
