ID,Name,Country,Sovereigns,Islands
244,MOLBOG,Philippines,Philippines,
246,PALAWENO,Philippines,Philippines,
247,ABORLAN-TAGBANWA,Philippines,Philippines,
249,BATAK,Philippines,Philippines,
251,MON,Laos,Laos,
254,MEO,Thailand,Thailand,
255,East Coast Bajau,Laos,Laos,
259,KHMER,Laos,Laos,
261,VIET,Laos,Laos,
263,SO,Laos,Laos,
264,ALAK,Laos,Laos,
265,NGUON,Laos,Laos,
266,SAEK,Laos,Laos,
267,TUM,Laos,Laos,
269,KUY,Laos,Laos,
273,PHU YAI,Laos,Laos,
274,TAMPUAN,Laos,Laos,
277,KUY,Thailand,Thailand,
278,KUY,Kampuchea,Kampuchea,
279,CHAM,Laos,Laos,
282,MNONG,Laos,Laos,
292,PEAR,Laos,Laos,
293,SAMRE,Kampuchea,Kampuchea,
294,CHAM,Kampuchea,Kampuchea,
298,CHONG,Laos,Laos,
299,SOMRAY/CHONG,Laos,Laos,
300,KHMER,Kampuchea,Kampuchea,
306,SUOY,Kampuchea,Kampuchea,
307,SAOCH,Kampuchea,Kampuchea,
311,MEO,Laos,Laos,
312,YAO,Laos,Laos,
314,YAO,Vietnam,Vietnam,
319,MUONG,Laos,Laos,
326,CAOLAN,Vietnam,Vietnam,
327,CAOLAN,Kampuchea,Kampuchea,
329,YAO/MEO,Laos,Laos,
330,NYAKUR,Thailand,Thailand,
331,M,Thailand,Thailand,
332,KHMER,Thailand,Thailand,
333,TONGA',Thailand,Thailand,
335,NYAKUR,Laos,Laos,
342,MON,Thailand,Thailand,
347,UGONG,Thailand,Thailand,
352,PHALO,Thailand,Thailand,
355,LISU,Thailand,Thailand,
356,YAO,Thailand,Thailand,
358,LAHU,Vietnam,Vietnam,
359,LAVIA,Thailand,Thailand,
360,KAREN,Thailand,Thailand,
362,MPI,Thailand,Thailand,
363,AKHA,Thailand,Thailand,
366,MAL,Thailand,Thailand,
368,KHAMET,Thailand,Thailand,
370,LAHU,Thailand,Thailand,
373,MOK,Thailand,Thailand,
378,PHANG,Thailand,Thailand,
395,AKHA,Burma,,
397,XINH MUL,Laos,Laos,
402,KHMU,Laos,Laos,
404,MEO,Vietnam,Vietnam,
406,PONG1,Laos,Laos,
407,PONG3,Laos,Laos,
425,THAI DAM(LAO SONG),Laos,Laos,
427,AKHA,Laos,Laos,
428,LUE,Laos,Laos,
431,BIT,Laos,Laos,
434,KHAO,Vietnam,Vietnam,
438,CHINESE,Laos,Laos,
444,SILA,Laos,Laos,
448,MRABRI,Laos,Laos,
450,MUANG,Laos,Laos,
452,PRAY/PHAY,Laos,Laos,
458,KHMU,Thailand,Thailand,
462,PHAY,Laos,Laos,
464,PHNAN,Laos,Laos,
468,LAMET,Laos,Laos,
469,MEO,Burma,,
470,TAI LOI,Laos,Laos,
471,LAHU,Laos,Laos,
474,DOI,Laos,Laos,
477,KRAEN,Thailand,Thailand,
478,JINGHPAW,Burma,,
479,WA,Burma,,
485,SO,Thailand,Thailand,
486,BO,Laos,Laos,
491,HUNG/PONG2,Laos,Laos,
495,Hat,Vietnam,Vietnam,
501,T,Burma,,
510,KAREN,Laos,Laos,
516,KHANG,Vietnam,Vietnam,
519,LAHA,Vietnam,Vietnam,
532,MANG,Vietnam,Vietnam,
538,GIAY,Vietnam,Vietnam,
549,KAREN,Burma,,
550,SHAN,Burma,,
552,SHAN,Thailand,Thailand,
560,NYAHEUN,Laos,Laos,
561,ONG,Laos,Laos,
564,Rai,Laos,Laos,
566,S. ROGLAI,Laos,Laos,
567,CHRU,Laos,Laos,
570,N. ROGLAI,Laos,Laos,
571,RHADE,Laos,Laos,
572,JARAI,Laos,Laos,
573,HAROI,Laos,Laos,
574,BAHNAR,Laos,Laos,
575,HRE,Laos,Laos,
576,KAYONG,Laos,Laos,
577,SEDANG,Laos,Laos,
578,KATUA,Laos,Laos,
579,TODRAH,Laos,Laos,
580,MONOM,Laos,Laos,
581,CUA,Laos,Laos,
582,DUAN,Laos,Laos,
583,TAKUA,Laos,Laos,
584,LAMAM/HA,Laos,Laos,
585,RENGAO,Laos,Laos,
586,JEH,Laos,Laos,
587,TARENG,Laos,Laos,
588,KASENG,Laos,Laos,
590,BRAO,Laos,Laos,
591,SAPUAN/SOK/CHENG,Laos,Laos,
592,LOVEN,Laos,Laos,
594,PACOH,Laos,Laos,
595,PHUONG,Laos,Laos,
596,YIR,Laos,Laos,
597,KLOR,Laos,Laos,
598,NGEH,Laos,Laos,
599,KATU,Laos,Laos,
600,TAHOI,Laos,Laos,
602,BRU,Laos,Laos,
603,KHUA,Laos,Laos,
604,TRI,Laos,Laos,
605,MANGKONG,Laos,Laos,
607,KHA TONG LUANG,Laos,Laos,
608,AREM/MAY/RUC,Laos,Laos,
609,THAVUNG,Laos,Laos,
611,T,Thailand,Thailand,
616,PAK TAY,Thailand,Thailand,
617,BURMESE,Burma,,
620,Palaw,Burma,,
622,LAHU/LISU,Thailand,Thailand,
633,AKHA/LAHU,Burma/Tailand,,
638,LUE,Thailand,Thailand,
639,South-Wester Family,Laos,Laos,
640,South-Western Family,Laos,Laos,
646,Khuen,Laos,Laos,
650,TAY,Vietnam,Vietnam,
655,THAI KHAW,Vietnam,Vietnam,
658,THAI KHAW,Laos/Vietnam,,
659,Austronesian,Christmas I.,Australia,
660,PALAUAN,Palau,United States,
662,EAHU,Thailand,Thailand,
665,TIMORESE/Biboki-Insana,East Timor,East Timor,
666,TIMORESE/ROTINESE,East Timor,East Timor,
667,TIMORESE/Amanuban-Amanatun,East Timor,East Timor,
668,ROTI,East Timor,East Timor,
669,TIMORESE/Kusa-Manlea,East Timor,East Timor,
670,MAMBAI/Damata,East Timor,East Timor,
671,MAMBAI/Lolei,East Timor,East Timor,
672,KEMAK/Nogo,East Timor,East Timor,
673,TETUN,East Timor,East Timor,
674,TUKUDEDE/Keha,East Timor,East Timor,
675,MAMBAI/Manua,East Timor,East Timor,
676,LAKALEI,East Timor,East Timor,
677,HABU,East Timor,East Timor,
678,IDATE,East Timor,East Timor,
679,GALOLI/Dadua,East Timor,East Timor,
680,GALOLI/Edi,East Timor,East Timor,
681,GALOLI/Galoli,East Timor,East Timor,
682,GALOLI/Na Nahek,East Timor,East Timor,
683,TETUN/Soibada,East Timor,East Timor,
684,TETUN/Eastern Tetun,East Timor,East Timor,
685,KAIRUI-MIDIKI/Kairui,East Timor,East Timor,
686,NAUETI/Oso Moko,East Timor,East Timor,
687,NAUETI/Naumik,East Timor,East Timor,
688,MAKASAI/Makiere,East Timor,East Timor,
689,KAIRUI-MIDIKI/Midiki,Indonesia,,
690,FATALUKU,East Timor,East Timor,
691,MAKU'A,East Timor,East Timor,
692,Dili Tetun,East Timor,East Timor,
693,TETUN/N,East Timor,East Timor,
694,"ROTI,TIMCRESE,SAVU",Indonesia,Indonesia,
695,SELWASA,Indonesia,Indonesia,
696,YAMDENA//Southern,Indonesia,Indonesia,
699,KEI-FORDATA/Larat II,Indonesia,Indonesia,
700,WETAR/Limera,East Timor,East Timor,
701,WETAR/Hahutan,East Timor,East Timor,
702,WETAR/Welemur,East Timor,East Timor,
703,WAIMA'A,East Timor,East Timor,
705,WETAR/Tutunohan,East Timor,East Timor,
706,GALOLI/Hehak,East Timor,East Timor,
708,GALOLI/Baba,East Timor,East Timor,
709,ADABE,East Timor,East Timor,
710,LAMAHOLOT/Adonara,East Timor,East Timor,
712,KEDANG,East Timor,East Timor,
713,KOLANA,East Timor,East Timor,
714,TANGLAPUI,East Timor,East Timor,
720,WOISIKA,East Timor,East Timor,
721,TIMORESE/Ambenu(Vaikenu),East Timor,East Timor,
723,KEI-FORDATA,Indonesia,,
726,SELARU,Indonesia,Indonesia,
727,KUI,East Timor,East Timor,
729,KELON,East Timor,East Timor,
730,KAFOA,East Timor,East Timor,
731,NEDEBANG,East Timor,East Timor,
732,LAMAHOLOT/East,East Timor,East Timor,
734,TEWA,East Timor,East Timor,
736,LAMMA,East Timor,East Timor,
