Unique_ID,AREA (sq km),COASTLINE (km) (perimeter),Longitude,Latitude,Region,COUNTRY NAME,Melanesia_or_not,Island name,Marck_group,Inhabited,glottocodes,Left_over,Smallest_Island_group,Medium_island_group,Medium_island_group_language_merged,Medium_only_merged_for_shared_language,SBZR_group,cost_area_id
Tobi,0.85,NA,131.12438,3.007434,Micronesia,PALAU,Not_Melanesia,Tobi,Tobi,yes,tobi1238,Tobi,Tobi,Tobi,Tobi,Tobi,Tobi,1
Mapia,NA,NA,134.304599,0.896674,Micronesia,INDONESIA,Not_Melanesia,Mapia,Mapia,yes,mapi1250,Mapia,Mapia,Mapia,Mapia,Mapia,Mapia,3
16668349,349.275151139,94.195210596,-179.915283676,-16.8268805013,Melanesia,FIJI,Melanesia,Taveuni,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
16668134,134.301595897,59.2173128597,179.958958409,-16.930720447,Melanesia,FIJI,Melanesia,Taveuni,Fiji,yes,gone1237,NA,Taveuni,Fiji,Fiji,Vanua Levu,Fiji,34
1666873,73.550709566,53.1104529339,-179.947021298,-16.4964046611,Melanesia,FIJI,Melanesia,Rabi,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
1666857,5756.64302893,991.01686901,179.248314804,-16.6036740066,Melanesia,FIJI,Melanesia,Vanua Levu,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
1666817,17.4980476702,24.8053305178,-179.966523578,-16.1525600778,Melanesia,FIJI,Melanesia,Vanua Levu,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
166687,7.7203192871,13.6992873302,179.991146641,-16.5205815989,Melanesia,FIJI,Melanesia,Rabi,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25710,169.422021065,73.4766526678,-109.35894608,-27.1194612948,Polynesia,CHILE,Not_Melanesia,Easter Island,Rapa Nui,yes,rapa1244,Rapa Nui,Rapa Nui,Rapa Nui,Rapa Nui,Rapa Nui,Rapa Nui,67
25709,2.847369261,10.1374911216,178.844424086,-16.476471314,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25708,0.0289638283,0.6217017834,179.73706905,-16.4671063931,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25707,0.0769363643,1.237345633,179.042147916,-16.4672254647,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25706,0.3690426757,2.955388712,178.807898531,-16.4870022853,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25705,12.5862031767,22.3223620535,178.807305144,-16.5174462203,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25704,0.0382614022,0.7645932945,179.702697735,-16.4888336126,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25703,0.0685501232,1.0023246106,178.854407122,-16.4967910136,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25702,0.0533561836,0.8766738064,179.633329905,-16.5308323105,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25701,0.1457027852,1.4234618828,178.780999606,-16.5417847127,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25700,0.0933974151,1.1261591184,178.771197203,-16.5454298711,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25699,4.4976107952,10.5585457471,178.730984443,-16.5642325381,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25698,0.0284862786,0.6162375755,178.790392091,-16.5629475911,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25697,0.0878438833,1.1974893801,178.698025846,-16.5737561808,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25696,10.9458495915,21.2229280021,178.595240695,-16.589369953,Melanesia,FIJI,Melanesia,Yaqaga,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25695,0.8179427654,3.595033306,178.717516349,-16.6048652151,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25694,1.2219233129,5.4701010846,178.694330123,-16.6164596976,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25693,0.2609488763,1.9200973407,178.671313326,-16.6135871576,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25692,20.1362383277,29.2763266186,179.919203595,-16.6507579457,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25691,1.0676543456,5.3018803899,178.731009761,-16.6264361234,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25690,0.062909123,1.0157976632,178.748590231,-16.6285714607,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25689,0.0365111852,0.7517241094,179.878154602,-16.6403478047,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25688,0.061118586,1.0070751719,178.601015801,-16.6424175636,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25687,0.0539115391,0.9446564323,178.650571796,-16.6430167069,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25686,0.0452987808,0.799848281,178.614549794,-16.6458461405,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25685,0.2081128962,1.9572132862,177.581927403,-16.6551993442,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25684,0.5200066432,2.8992599654,177.763635762,-16.6636200467,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25683,0.0449036825,0.8023512454,178.647492543,-16.6620881379,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25682,0.1591678973,1.6120361706,177.600560403,-16.6685212472,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25681,0.0697088088,1.1304047861,179.924449997,-16.6713125646,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25680,0.0447346497,0.8754316787,178.672879864,-16.6704364514,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25679,0.5098316412,3.6358175196999998,177.569757092,-16.6887461118,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25678,0.0290839451,0.6230323723,177.552913644,-16.6846128668,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25677,34.6270853257,73.4191502415,177.519480867,-16.7853322198,Melanesia,FIJI,Melanesia,Yasawa,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25676,0.101450561,1.1793979072,179.202175592,-16.7105276222,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25675,0.0355183088,0.7432239594,179.735671184,-16.729518744700002,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25674,0.0772132757,1.0557628047,179.932099549,-16.7325122109,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25673,0.0286529372,0.6189445433,179.786243956,-16.7329502824,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25672,0.3283060862,2.4777764403,179.587973698,-16.7356529539,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25671,0.0208397633,0.6298182483,179.357494691,-16.7358427582,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25670,0.0621661849,0.9345582844,179.719889505,-16.7374045151,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25669,0.0127059016,0.4458125001,179.816253282,-16.7458580268,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25668,0.0617236797,0.9326885054,179.493229367,-16.7465867,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25667,0.0206686666,0.6079691048,179.35416162,-16.7541624164,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25666,0.1373193291,1.6862680375,179.908457502,-16.757371432,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25665,0.2967358616,2.0366259808,179.149913594,-16.7633855854,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25664,0.0373503622,0.7533804046,179.854346391,-16.766187585,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25663,0.5306826754,2.9539866846,179.340323985,-16.773059632,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25662,0.0617403669,1.0065780765,179.348145692,-16.7726114815,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25661,0.0296590913,0.7066377237,177.547481001,-16.7746083841,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25660,0.0204174937,0.6300095853,179.891708489,-16.7800149517,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25659,0.029120179,0.6236931,179.874564499,-16.7812811952,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
