Unique_ID,AREA (sq km),COASTLINE (km) (perimeter),Longitude,Latitude,Region,COUNTRY NAME,Melanesia_or_not,Island name,Marck_group,Inhabited,glottocodes,Left_over,Smallest_Island_group,Medium_island_group,Medium_island_group_language_merged,Medium_only_merged_for_shared_language,SBZR_group,cost_area_id
25658,0.0120745103,0.4316136174,177.503331,-16.7929589367,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25657,0.3947079862,2.8324482945,177.465536684,-16.797679595400002,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25656,14.1979903153,29.1691644999,178.309907442,-16.8184857032,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25655,0.0450091468,0.8033598807,179.535824354,-16.7979318904,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25654,0.32210489,2.1939029163,179.531973639,-16.8023780287,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25653,0.0857607055,1.1133733855,179.425301528,-16.8025871594,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25652,0.1026789019,1.4117113798,179.433198891,-16.804347832,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25651,0.0672750718,1.1068117063,179.484856012,-16.8071529652,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25650,0.0126967769,0.445774579,177.484580994,-16.8067038351,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25649,0.0613670965,0.9259263684,179.360938554,-16.8134724449,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25648,0.1504348274,1.6378543132,179.44484033,-16.814555591,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25647,0.1279712074,1.7040358057,179.29059365,-16.8248695757,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25646,0.7338425788,3.4890242495,178.286408641,-16.8379934609,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,NA,Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25645,0.3753173457,2.439768223,177.484143639,-16.8457413017,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25644,1.0158401125,4.8294012856,177.480391236,-16.8524052066,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25643,24.2193535073,38.620425394,177.424085991,-16.8939763333,Melanesia,FIJI,Melanesia,Nacula,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25642,0.0447902173,0.8011141326,177.45081573,-16.8621109957,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25641,0.0122810059,0.4279220897,177.472486665,-16.8637629934,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25640,0.053979289,0.9256507434,177.460464887,-16.8656082967,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25639,0.0282392872,0.6941625089,177.424155109,-16.8662673635,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25638,0.0114650957,0.4217149248,177.468303826,-16.8679304123,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25637,0.0126926393,0.4469411089,177.453750611,-16.8700434752,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25636,0.035446016,0.7319936005,177.456318803,-16.8785371121,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25635,0.028209715,0.6134805665,177.456234797,-16.8854231071,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25634,0.0205653793,0.5676189878,177.409459451,-16.8877619101,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25633,0.1096136709,1.4765060379,177.394638448,-16.8894513152,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25632,0.0625480898,1.0138681405,177.437670248,-16.9046890482,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25631,0.0757038564,1.2126390732,177.442814574,-16.9085669879,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25630,0.0120481716,0.4227120889,177.429992616,-16.9129257713,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25629,0.0122291896,0.4320810222,177.429999418,-16.9154352593,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25628,1.7631982065,5.8275410626,177.368216881,-16.9251371438,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25627,10.4505417012,18.5963094087,177.350269514,-16.9595579471,Melanesia,FIJI,Melanesia,Yaqeta?,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25626,0.0525495679,0.8698700463,177.341646663,-16.9408430226,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25625,1.5176651185,5.9477948177,177.382884497,-16.946566695,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25624,1.8316067308,6.4906748224,177.383408186,-16.9633824505,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25623,0.0293920562,0.626818516,177.330421448,-16.963774679,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25622,0.0278638211,0.6096946841,177.38122121,-16.9779376525,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25621,0.1586180232,1.573520986,177.364043667,-16.9795508212,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25620,0.3076781387,2.1064967722,177.335649331,-16.9812039519,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25619,7.2154500931,19.2999088536,177.331065091,-17.0095036876,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25618,35.8414775158,51.4459245565,177.250206092,-17.1140461061,Melanesia,FIJI,Melanesia,Naviti,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25617,0.0210394373,0.6157314686,177.310835516,-17.084199602,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25616,0.0116664352,0.4256912819,177.309987675,-17.0879152929,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25615,0.0203311713,0.5637560751,177.307755303,-17.0905917584,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25614,0.0216911847,0.5793105327,177.305234942,-17.0944569454,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25613,0.056957586,1.1629852857,177.301941937,-17.100122039,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25612,0.0124905574,0.4350440555,177.298333023,-17.1037714905,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25611,0.0361839734,0.8199710527,177.301467645,-17.107721368,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25610,0.8224337186,5.0648077069,179.107194567,-17.11119902,Melanesia,FIJI,Melanesia,NA,Fiji,yes,gone1237,Fiji (Gone Dau),Vanua Levu,Fiji,Fiji,Vanua Levu,Fiji,34
25609,0.0275515877,0.7378765965,177.299374246,-17.111931231,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25608,0.0115814526,0.4254249838,177.299167408,-17.1154229217,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25607,0.0122624938,0.4326526015,177.28666687,-17.1187718374,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25606,0.0448413024,0.9291614998,177.265965328,-17.13058905,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25605,6.7281081295,10.6294138,176.890956234,-17.1492953899,Melanesia,FIJI,Melanesia,Viwa,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25604,0.109701131,1.3263492894,176.874579529,-17.1583700859,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25603,0.3721239095,2.8231914013,177.199089622,-17.1748469786,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (Gone Dau),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25602,1.0637118938,6.0865622842,177.190036209,-17.1916917803,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (west),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25601,0.3679294398,2.4133216685,177.180384305,-17.1984004909,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (west),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25600,0.4002235182,2.3570441673,177.182353898,-17.210518727,Melanesia,FIJI,Melanesia,NA,Fiji,yes,west2519,Fiji (west),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25599,107.160515465,51.476161422,179.407513816,-17.3091940679,Melanesia,FIJI,Melanesia,Koro,Fiji,yes,loma1261,Fiji (Lomaviti),Lomaviti,Fiji,Fiji,Lomaviti,Fiji,34
25598,21.2592758591,25.6351759177,177.125916407,-17.2940181511,Melanesia,FIJI,Melanesia,Waya,Fiji,yes,west2519,Fiji (west),Yasawa (greater),Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25597,3.2016899266,13.5985107328,178.222452907,-17.2872693453,Melanesia,FIJI,Melanesia,NA,Fiji,yes,"sout2864, nort2843, west2519, namo1248",Fiji (East),Viti Levu,Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25596,0.0448179331,0.8800843049,178.235383494,-17.3054448942,Melanesia,FIJI,Melanesia,NA,Fiji,yes,"sout2864, nort2843, west2519, namo1248",Fiji (East),Viti Levu,Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25595,2.5202305894,9.471582884,178.238259319,-17.320399985,Melanesia,FIJI,Melanesia,NA,Fiji,yes,"sout2864, nort2843, west2519, namo1248",Fiji (East),Viti Levu,Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25594,5.0616248217,9.9639997,178.151068517,-17.3207742656,Melanesia,FIJI,Melanesia,NA,Fiji,yes,"sout2864, nort2843, west2519, namo1248",Fiji (East),Viti Levu,Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
25593,0.0524742012,0.8696214705,178.472508848,-17.3108518863,Melanesia,FIJI,Melanesia,NA,Fiji,yes,laua1243,fiji1243,Lau,Fiji,Fiji,Lau,Fiji,34
25592,10723.9096495,809.663513919,177.972156437,-17.8359512163,Melanesia,FIJI,Melanesia,Viti Levu,Fiji,yes,"sout2864, nort2843, west2519, namo1248",Viti Levu,Viti Levu,Fiji,Fiji,Viti Levu + Yasawa,Fiji,34
