language,centroid_lon,centroid_lat,area,distance
CHINESE,119.65325544817861,23.663612410916315,3.253397746999568e-05,0.05205513032675207
CHINESE,119.62451242010249,23.649995621397284,3.3731853984450625e-05,0.025877329008006465
CHINESE,119.5986979888893,23.617860908699615,0.00011682978698687277,0.005707697034416369
CHINESE,119.55967636724239,23.620468501332965,1.3137409814921156e-05,0.01261733463320737
CHINESE,119.5280202900955,23.261614847713357,4.831354715400666e-05,0.021751577557939567
CHINESE,119.51862311075995,23.271352560114085,3.1418361536003334e-05,0.010589768153803752
CHINESE,119.51020341156097,23.513226570144354,3.665854547118365e-05,0.015341139938886923
CHINESE,119.41874547616733,23.30017670403973,0.000479960472226072,0.03138836980930751
AMI_Southern,120.89052949103765,22.35669760173423,0.00019818920475517992,0.0007703064935229946
T,99.20503642810436,7.37949240164978,0.00020754375070239386,0.12269917852393897
PALAUAN,134.7566480902369,8.131969696329591,0.002274100497300477,0.011023985970108832
BLAGAR,124.36016715329411,-8.308724662166604,0.0024223833900891174,0.0176264681608296
BAJO,121.36581563396872,-1.0101664020697567,0.00020575433864689663,0.008088500618706418
Austronesian,168.02122470949234,-28.420005836907496,0.004537699082271885,0.5446556539454233
Austronesian,-130.2763212518496,-23.937141512328218,0.0006730335279981795,0.4467895094187071
Austronesian,-157.66485703820027,-19.571407251288473,0.0017372029982788263,0.1637462185861114
Austronesian,-158.3411468261231,-20.00949291770461,0.001752723949595661,0.16753925538345874
Austronesian,-158.43834357837858,-19.705877834424957,0.0075397323717391945,0.15022705400630668
Austronesian,-160.08813174692676,-1.1023784366138203,0.0006658492815776523,0.7043845765731462
Austronesian,-163.64326894286452,-17.587323588307452,0.00020681227011059316,0.6077202779355636
MARSHALLESE,165.53040154014292,9.203601417092028,9.637937497409167e-05,0.005729950151142528
MARSHALLESE,162.33238220176588,11.353573481649436,3.0936637509950113e-05,0.0012729948972521551
MARSHALLESE,169.96176543398997,10.440454108959743,0.00014382442284892045,0.010544094568691095
TUVALU,178.89384313811667,-7.844447596227003,0.00012698715701336095,0.372719559124369
TUVALU,178.47227635531482,-8.321410194043812,0.0016080144420512201,0.21605319311502186
KAIRIRU,143.62733038703502,-3.4116724680366444,0.0016096024038585828,0.01164811131921991
South-West Group,136.29190556287793,-34.53781157109069,0.002066967562333164,0.15008058982994107
South-West Group,133.85774597810016,-32.379777213705786,0.0013644750141491885,0.014191044396834572
South-West Group,114.97262076620864,-21.48739176674006,0.0011420075894980643,0.17930653053710735
South-West Group,114.36034399605967,-21.653880227917902,0.0007491669892712947,0.21996515881967754
South-West Group,114.30149902833604,-21.7043754057617,0.0013799783533611067,0.12960957077890434
South-West Group,113.8621173756189,-25.845489903809327,0.005126924639779736,0.05720056301226516
AGARLUMA,116.87140770396358,-20.42445962877027,0.003069839202856342,0.09657924840845225
AGARLUMA,116.78184109166348,-20.490713638523797,0.0027569868822044613,0.013448692952487719
MARTU YHUNIRA,116.6088166340311,-20.622177750374153,0.002271016121031644,0.02487885066145596
Yotayotic Group,146.83574850172508,-38.71757962167417,0.001691801753713623,0.013267494962612147
MOR,135.75595684781464,-2.995890479964794,0.0017182319437348836,0.011765756855434675
MOR,135.59809098420317,-3.0964168340263507,0.0007874985881476135,0.08063380281639229
SOBEI,139.25804308566774,-2.0056609159983196,0.0003785430630710035,0.0761802167178876
SOBEI,139.14706041591205,-2.007425446554901,0.0003037907080766911,0.014306773664738108
SOBEI,139.02804593503788,-1.9397318335157079,0.00041368960934172613,0.03288091543099049
SOBEI,138.79245788890833,-1.6872648542714581,0.0006706355998634186,0.05864965284546533
PA'UMOTU,-138.0666777292322,-22.19987528739714,0.010367132041778932,0.5859428856323008
PA'UMOTU,-138.9645215191166,-21.052244657161957,0.010473944710253752,0.2549608057130898
PA'UMOTU,-139.0363568209487,-18.369102755729536,0.008481552493863141,0.3207563954936216
PA'UMOTU,-139.10346378739015,-20.092658499202045,0.006228770757158309,0.6214689683147743
PA'UMOTU,-139.19116819063248,-18.0027179883717,0.009482663974880408,0.7076500340640455
