LANGUAGE,lat,lon,fix
Djeebbanan Family-Level Isolate,-12.469,131.288,LANGUAGE=Laragyan
Djeebbanan Family-Level Isolate,-12.574,130.733,LANGUAGE=Laragyan
Oba,-6.459,139.430,LANGUAGE=Oba YAQAY
YAU,-3.530,142.015,LANGUAGE=YAU Sandaun
Ono,-6.004,145.121,LANGUAGE=Ono SIANE
Dagan Family,-9.67,149.134,LANGUAGE=MAIWA
Dagan Family,-9.76,149.365,LANGUAGE=MAIWA
Dagan Family,-9.703,149.622,LANGUAGE=JIMAJIMA
Austronesian,-10.07,148.08,LANGUAGE=MARIA
Central Family,-10.086,148.225,LANGUAGE=KEAPARA;ISLAND_NAME=Papua New Guinea
East Coast Bajau,5.273,118.653,LANGUAGE=IDA'AN
ITNEG,17.6015,120.6039,LANGUAGE=BINONGAN ITNEG
ITNEG,17.7,120.76,LANGUAGE=INLAOD ITNEG
Bime,-4.417,140.316,LANGUAGE=KETENGBAN Bime
Kabaena,-8.66,125.28,LANGUAGE=TUKUDEDE
Adzera Family,-6.999,146.96,LANGUAGE=BUKAWAC
Angan Stock-Level Family,-7.8,146.321,LANGUAGE=HAMTAI Pmasaa;ISLAND_NAME=Papua New Guinea
Eastern Trans-Fly Family,-9.224,142.775,LANGUAGE=Western GIZRA;ISLAND_NAME=Papua New Guinea
Eastern Trans-Fly Family,-9.062,142.698,LANGUAGE=Western BINE;ISLAND_NAME=Papua New Guinea
Eastern Trans-Fly Family,-9.023,142.951,LANGUAGE=Eastern BINE;ISLAND_NAME=Papua New Guinea
Eastern Trans-Fly Family,-9.06,143.004,LANGUAGE=Eastern BINE;ISLAND_NAME=Papua New Guinea
Eastern Trans-Fly Family,-9.095,143.021,LANGUAGE=S.Coastal Kiwai
Eastern Trans-Fly Family,-9.161,142.932,LANGUAGE=S.Coastal Kiwai
West Bird's Head Stock Level Family,-1.542,132.131,LANGUAGE=TEHIT
West Bird's Head Stock Level Family,-1.087,131.908,LANGUAGE=TEHIT
